merchant_id,month,chargebacks,refunds,fraud_cases,risk_score
M0480,2024-07,3,27,3,23
M0191,2024-03,1,3,0,17
M0280,2024-08,20,27,6,52
M0127,2024-08,0,1,0,20
M0324,2024-04,29,114,7,18
M0483,2024-05,0,1,0,17
M0420,2024-10,2,13,0,7
M0368,2024-07,11,96,7,16
M0444,2024-05,2,9,0,20
M0234,2024-07,3,8,0,24
M0253,2024-12,3,18,1,16
M0348,2024-12,3,11,0,27
M0138,2024-06,1,4,0,24
M0250,2024-07,0,5,1,18
M0273,2024-01,1,6,0,15
M0450,2024-02,4,17,2,26
M0090,2024-02,20,117,13,16
M0290,2024-07,10,28,3,9
M0290,2024-02,6,16,2,16
M0504,2024-10,0,2,0,18
M0444,2024-04,2,9,0,21
M0029,2024-01,1,11,0,16
M0389,2024-11,2,8,1,19
M0565,2024-06,2,10,0,24
M0411,2024-07,1,4,0,27
M0028,2024-03,2,7,0,24
M0435,2024-06,38,128,7,14
M0060,2024-06,0,2,0,7
M0258,2024-09,2,4,1,24
M0226,2024-05,0,2,0,15
M0061,2024-10,0,2,0,26
M0094,2024-10,1,10,1,12
M0199,2024-11,28,197,8,12
M0171,2024-08,1,4,0,19
M0082,2024-11,1,2,0,20
M0280,2024-04,13,23,6,53
M0104,2024-09,0,2,0,20
M0237,2024-06,1,4,0,25
M0006,2024-01,1,3,0,19
M0331,2024-01,1,2,0,14
M0294,2024-01,1,3,1,44
M0527,2024-04,1,17,1,15
M0249,2024-05,5,12,3,23
M0210,2024-09,1,7,0,16
M0320,2024-02,2,9,1,29
M0255,2024-11,1,4,0,27
M0077,2024-02,0,1,0,18
M0369,2024-02,0,3,0,17
M0558,2024-06,1,6,1,20
M0189,2024-07,8,87,4,23
M0485,2024-01,1,4,0,21
M0516,2024-11,1,6,0,21
M0201,2024-02,1,3,0,23
M0127,2024-06,1,2,0,20
M0592,2024-11,1,8,0,16
M0471,2024-09,1,4,0,19
M0455,2024-11,0,3,0,7
M0030,2024-09,0,6,0,14
M0467,2024-02,2,7,1,30
M0061,2024-08,0,1,0,24
M0033,2024-06,1,4,0,12
M0071,2024-05,7,12,1,15
M0118,2024-04,1,6,1,13
M0428,2024-05,0,2,0,15
M0516,2024-12,1,5,0,28
M0371,2024-08,0,2,0,23
M0225,2024-10,16,60,3,23
M0588,2024-06,1,3,0,13
M0063,2024-04,1,2,0,25
M0054,2024-06,0,2,0,18
M0235,2024-03,2,13,1,11
M0014,2024-03,1,8,0,21
M0424,2024-07,19,21,9,57
M0271,2024-07,2,3,0,24
M0490,2024-12,3,6,1,20
M0051,2024-04,6,12,2,49
M0188,2024-01,8,41,4,12
M0555,2024-11,7,55,4,30
M0348,2024-06,1,5,0,25
M0164,2024-10,0,1,0,16
M0233,2024-02,7,22,2,17
M0317,2024-11,1,6,1,22
M0155,2024-06,2,18,3,20
M0563,2024-10,7,34,6,25
M0233,2024-03,5,30,2,21
M0143,2024-09,19,44,5,17
M0472,2024-04,1,6,0,15
M0335,2024-03,0,3,0,24
M0022,2024-05,36,106,15,19
M0179,2024-11,29,89,7,23
M0384,2024-05,1,4,0,27
M0146,2024-03,7,28,3,17
M0383,2024-03,8,24,1,19
M0572,2024-05,10,36,4,18
M0365,2024-11,4,8,1,49
M0039,2024-08,11,46,6,24
M0089,2024-10,0,2,0,18
M0365,2024-09,2,5,1,45
M0559,2024-12,6,32,3,14
M0504,2024-07,0,3,0,15
M0191,2024-12,1,4,0,18
M0292,2024-08,13,52,3,23
M0098,2024-05,1,5,0,25
M0395,2024-09,50,180,23,23
M0254,2024-10,2,10,1,23
M0043,2024-02,9,25,3,17
M0181,2024-05,6,23,2,15
M0445,2024-08,0,1,0,19
M0224,2024-06,6,30,3,16
M0365,2024-02,3,6,1,50
M0294,2024-06,1,3,1,53
M0051,2024-03,8,8,3,55
M0125,2024-03,0,4,0,19
M0270,2024-12,0,1,0,16
M0481,2024-09,23,86,17,44
M0326,2024-10,2,10,0,15
M0077,2024-06,1,2,0,18
M0431,2024-01,1,3,1,27
M0152,2024-12,1,7,0,19
M0367,2024-06,0,1,0,18
M0477,2024-12,2,5,1,27
M0365,2024-04,3,5,1,52
M0179,2024-06,22,70,9,22
M0555,2024-02,7,45,3,30
M0064,2024-02,7,41,2,26
M0494,2024-11,2,3,1,18
M0518,2024-01,1,3,0,13
M0527,2024-12,2,20,1,20
M0596,2024-11,1,5,0,11
M0010,2024-02,1,4,0,22
M0439,2024-05,1,3,0,30
M0059,2024-02,1,3,0,28
M0114,2024-09,1,1,0,18
M0474,2024-08,4,11,2,30
M0484,2024-03,36,109,20,26
M0455,2024-10,0,3,0,7
M0356,2024-12,6,26,2,14
M0531,2024-07,3,39,2,20
M0276,2024-09,1,6,0,22
M0155,2024-02,3,13,1,17
M0128,2024-06,1,5,1,17
M0531,2024-12,3,44,2,24
M0307,2024-04,1,3,1,23
M0402,2024-02,0,1,0,15
M0204,2024-11,2,6,0,23
M0052,2024-02,0,2,0,11
M0273,2024-02,1,3,0,10
M0092,2024-01,1,3,1,22
M0473,2024-01,1,2,0,15
M0291,2024-11,2,14,1,12
M0274,2024-05,6,29,1,20
M0115,2024-10,5,31,2,19
M0547,2024-05,1,5,0,18
M0182,2024-07,0,1,0,25
M0333,2024-08,0,1,0,12
M0043,2024-05,9,19,3,23
M0388,2024-10,0,2,0,17
M0007,2024-09,6,14,6,61
M0415,2024-04,68,351,34,22
M0537,2024-12,12,35,4,22
M0083,2024-02,2,9,1,17
M0190,2024-12,1,10,1,11
M0339,2024-01,9,43,3,22
M0057,2024-04,1,4,0,19
M0423,2024-01,18,102,15,29
M0088,2024-03,9,38,3,25
M0519,2024-08,0,1,0,24
M0071,2024-06,8,14,1,11
M0582,2024-04,6,22,3,12
M0420,2024-12,2,22,1,8
M0046,2024-01,1,5,0,17
M0566,2024-03,34,44,7,60
M0150,2024-08,32,240,10,19
M0134,2024-05,0,4,0,21
M0111,2024-11,1,4,1,20
M0144,2024-11,1,4,0,19
M0442,2024-03,9,105,11,19
M0367,2024-07,0,2,0,17
M0569,2024-03,5,14,1,18
M0552,2024-12,0,2,0,19
M0387,2024-09,14,46,3,16
M0092,2024-12,1,6,1,22
M0507,2024-06,8,34,5,21
M0190,2024-07,1,7,0,7
M0314,2024-07,3,5,1,17
M0432,2024-10,0,2,0,27
M0351,2024-11,1,5,0,28
M0579,2024-11,50,121,29,16
M0126,2024-08,1,5,1,22
M0021,2024-10,11,54,13,24
M0010,2024-03,1,6,0,19
M0276,2024-03,1,7,0,18
M0301,2024-03,1,2,0,25
M0105,2024-01,0,2,0,15
M0496,2024-01,1,4,0,26
M0203,2024-10,2,9,1,13
M0366,2024-12,1,7,1,21
M0487,2024-02,40,226,29,18
M0479,2024-10,4,13,1,16
M0106,2024-05,32,52,8,17
M0064,2024-07,11,63,3,25
M0195,2024-06,3,11,1,27
M0486,2024-12,1,2,0,19
M0546,2024-06,4,16,1,21
M0091,2024-12,11,77,7,24
M0599,2024-04,9,116,7,15
M0278,2024-02,0,1,0,20
M0401,2024-07,2,7,1,23
M0213,2024-08,1,4,1,22
M0145,2024-01,35,134,12,12
M0020,2024-04,7,31,3,15
M0008,2024-07,0,1,0,16
M0162,2024-12,3,34,1,24
M0242,2024-04,0,3,0,22
M0452,2024-07,0,2,0,10
M0248,2024-12,1,2,0,17
M0352,2024-08,4,31,4,22
M0215,2024-06,2,4,0,21
M0263,2024-01,1,4,0,16
M0372,2024-02,0,2,0,24
M0499,2024-02,4,17,1,26
M0328,2024-06,13,58,11,32
M0072,2024-05,1,8,0,19
M0110,2024-08,2,6,1,23
M0575,2024-06,1,8,1,28
M0124,2024-07,21,55,5,28
M0173,2024-07,1,1,0,16
M0077,2024-12,1,2,0,20
M0450,2024-04,8,31,3,26
M0167,2024-07,3,16,1,18
M0121,2024-05,0,2,0,21
M0202,2024-09,4,18,2,38
M0178,2024-05,1,6,1,18
M0550,2024-11,1,4,0,23
M0509,2024-08,1,4,1,16
M0512,2024-03,18,140,21,21
M0536,2024-02,1,8,1,17
M0362,2024-06,1,2,1,48
M0312,2024-05,0,4,0,23
M0556,2024-12,2,6,1,31
M0120,2024-10,6,32,4,16
M0475,2024-08,1,7,1,20
M0278,2024-03,0,1,0,26
M0350,2024-07,24,48,10,70
M0563,2024-04,6,37,6,18
M0556,2024-11,1,6,1,24
M0109,2024-09,1,8,0,18
M0227,2024-10,3,12,1,26
M0322,2024-08,0,1,0,11
M0297,2024-06,2,5,0,22
M0301,2024-07,1,4,0,26
M0024,2024-03,1,3,0,25
M0215,2024-03,1,4,0,20
M0236,2024-08,3,10,2,16
M0068,2024-03,27,197,28,16
M0404,2024-10,6,11,2,23
M0116,2024-02,0,1,0,20
M0210,2024-08,1,4,0,11
M0227,2024-05,3,13,0,27
M0018,2024-10,0,1,0,26
M0484,2024-01,32,83,10,20
M0214,2024-01,67,234,16,25
M0570,2024-02,3,36,1,19
M0319,2024-08,4,8,1,20
M0084,2024-01,3,7,1,18
M0473,2024-08,1,3,0,20
M0472,2024-03,1,6,1,20
M0020,2024-07,8,31,2,21
M0011,2024-08,1,3,1,19
M0169,2024-08,1,2,0,19
M0212,2024-01,0,2,0,20
M0064,2024-01,7,35,2,21
M0552,2024-01,0,3,0,28
M0169,2024-11,1,3,0,23
M0026,2024-07,6,31,5,16
M0198,2024-11,2,9,1,16
M0548,2024-05,0,4,0,18
M0246,2024-05,2,3,0,16
M0105,2024-06,0,2,0,13
M0486,2024-11,1,4,0,19
M0376,2024-06,11,108,11,37
M0060,2024-09,0,3,0,12
M0207,2024-09,1,3,0,19
M0187,2024-06,1,11,1,22
M0098,2024-04,1,6,1,22
M0106,2024-04,32,62,10,16
M0425,2024-05,9,28,2,20
M0385,2024-03,2,6,1,17
M0128,2024-11,1,7,0,18
M0425,2024-09,9,31,2,26
M0446,2024-11,2,7,0,28
M0420,2024-03,2,24,1,10
M0382,2024-11,10,49,9,24
M0435,2024-02,48,107,8,25
M0338,2024-10,10,22,3,46
M0302,2024-04,0,1,0,17
M0118,2024-03,1,9,1,16
M0047,2024-02,4,7,2,36
M0253,2024-10,4,19,1,14
M0181,2024-09,6,30,4,19
M0471,2024-06,1,6,0,19
M0459,2024-05,0,2,0,17
M0331,2024-06,1,2,0,14
M0589,2024-10,6,12,2,18
M0556,2024-03,1,4,1,26
M0030,2024-10,1,6,0,19
M0077,2024-09,1,2,0,17
M0229,2024-02,2,9,1,18
M0199,2024-06,35,157,8,6
M0590,2024-11,1,6,1,13
M0545,2024-10,1,2,0,20
M0195,2024-07,2,10,1,26
M0507,2024-05,7,28,2,11
M0427,2024-11,0,2,0,14
M0007,2024-06,9,11,4,61
M0387,2024-06,9,55,4,23
M0333,2024-04,0,1,0,21
M0275,2024-06,34,330,29,21
M0557,2024-01,1,8,1,17
M0323,2024-03,1,10,1,28
M0496,2024-11,15,31,4,59
M0015,2024-08,1,6,1,21
M0231,2024-06,4,34,1,28
M0140,2024-09,2,29,2,20
M0421,2024-08,5,19,1,24
M0366,2024-06,1,3,0,23
M0140,2024-02,2,19,2,17
M0445,2024-02,0,1,0,20
M0025,2024-06,1,8,1,25
M0492,2024-04,1,5,1,19
M0514,2024-05,0,1,0,12
M0569,2024-04,4,21,2,21
M0561,2024-08,1,4,0,17
M0406,2024-07,0,4,1,14
M0013,2024-08,1,2,0,21
M0230,2024-11,1,5,0,16
M0377,2024-01,1,4,0,20
M0167,2024-08,4,17,1,24
M0272,2024-04,1,5,0,27
M0128,2024-12,1,7,1,18
M0498,2024-02,1,3,0,33
M0231,2024-11,4,18,2,25
M0252,2024-08,12,35,3,21
M0068,2024-12,38,212,31,13
M0287,2024-11,1,4,0,9
M0345,2024-08,10,40,3,19
M0208,2024-12,65,250,17,19
M0318,2024-11,3,15,2,11
M0347,2024-08,1,6,0,15
M0231,2024-02,3,18,1,28
M0167,2024-10,3,12,1,19
M0117,2024-01,1,7,0,22
M0557,2024-08,1,8,1,19
M0130,2024-06,1,3,0,24
M0243,2024-07,1,4,0,19
M0282,2024-12,2,6,0,23
M0259,2024-09,1,4,1,21
M0100,2024-11,0,1,0,24
M0019,2024-05,0,5,0,19
M0512,2024-12,29,241,28,17
M0528,2024-12,1,4,1,20
M0529,2024-02,9,39,5,22
M0217,2024-01,5,20,3,25
M0404,2024-03,7,18,4,25
M0164,2024-02,0,1,0,20
M0185,2024-09,2,9,1,18
M0273,2024-11,1,8,1,15
M0323,2024-04,1,7,1,16
M0585,2024-11,10,42,2,20
M0126,2024-12,2,7,1,15
M0028,2024-02,1,7,0,19
M0276,2024-10,1,8,0,18
M0195,2024-11,2,7,1,20
M0249,2024-04,7,16,2,27
M0478,2024-05,0,1,0,28
M0253,2024-02,4,11,2,14
M0218,2024-11,1,4,0,19
M0076,2024-05,6,23,3,21
M0278,2024-06,0,1,0,20
M0156,2024-01,1,4,0,16
M0136,2024-06,6,44,2,19
M0032,2024-02,3,17,1,19
M0454,2024-10,1,4,0,24
M0490,2024-11,3,6,1,23
M0119,2024-02,0,2,0,14
M0427,2024-12,0,1,0,13
M0241,2024-06,1,7,0,14
M0425,2024-12,13,42,2,17
M0551,2024-10,1,6,1,16
M0009,2024-10,1,4,1,13
M0309,2024-10,1,1,0,18
M0380,2024-12,0,1,0,14
M0031,2024-06,6,35,3,17
M0084,2024-12,2,7,0,15
M0210,2024-11,2,10,1,19
M0456,2024-10,0,1,0,19
M0133,2024-04,0,1,0,20
M0046,2024-02,1,4,0,22
M0251,2024-04,1,5,1,13
M0075,2024-06,5,31,2,15
M0288,2024-12,2,10,1,21
M0318,2024-03,4,16,2,18
M0332,2024-04,0,5,0,16
M0022,2024-03,31,80,14,12
M0121,2024-01,0,1,0,19
M0274,2024-01,4,24,1,14
M0412,2024-06,10,35,2,28
M0116,2024-07,0,2,0,18
M0079,2024-05,1,7,0,26
M0044,2024-10,34,112,22,60
M0088,2024-12,10,28,5,26
M0402,2024-07,0,1,0,22
M0116,2024-01,0,2,0,22
M0294,2024-12,1,5,1,49
M0188,2024-08,7,34,2,18
M0123,2024-08,8,61,2,14
M0262,2024-05,0,1,0,15
M0147,2024-06,1,7,1,14
M0517,2024-04,2,5,0,18
M0520,2024-07,0,2,0,21
M0521,2024-01,6,30,4,13
M0372,2024-03,0,1,0,25
M0076,2024-10,9,40,3,22
M0370,2024-05,1,2,0,12
M0165,2024-03,3,28,3,15
M0522,2024-09,17,55,8,14
M0306,2024-02,1,2,0,16
M0545,2024-02,1,2,0,16
M0321,2024-10,3,12,1,24
M0076,2024-04,6,36,2,26
M0102,2024-02,0,2,0,17
M0316,2024-02,2,6,1,21
M0279,2024-11,2,5,1,17
M0175,2024-07,3,34,2,17
M0137,2024-03,1,5,1,28
M0547,2024-07,1,5,0,13
M0167,2024-04,4,15,1,16
M0590,2024-03,1,7,1,18
M0098,2024-06,0,7,0,18
M0017,2024-02,0,2,0,25
M0173,2024-08,1,2,0,16
M0476,2024-07,1,4,1,14
M0153,2024-07,6,57,3,19
M0511,2024-07,2,11,1,28
M0151,2024-07,1,3,1,22
M0474,2024-12,5,15,3,53
M0065,2024-01,1,6,0,27
M0499,2024-01,3,19,2,29
M0461,2024-08,8,35,7,24
M0191,2024-09,1,4,0,14
M0094,2024-01,1,8,1,10
M0133,2024-08,0,1,0,23
M0152,2024-03,1,4,0,13
M0523,2024-12,0,3,0,16
M0158,2024-11,5,23,3,20
M0461,2024-04,9,23,4,16
M0081,2024-01,4,11,2,24
M0546,2024-11,5,17,2,17
M0320,2024-11,2,9,1,21
M0224,2024-03,6,34,2,17
M0147,2024-11,1,5,0,17
M0124,2024-02,9,33,3,25
M0326,2024-02,2,7,0,13
M0060,2024-02,0,2,0,9
M0055,2024-04,2,16,2,21
M0495,2024-07,4,16,1,20
M0375,2024-05,3,10,1,14
M0042,2024-12,5,12,2,15
M0324,2024-08,45,127,7,20
M0077,2024-10,1,2,0,13
M0115,2024-07,4,36,2,24
M0054,2024-02,0,2,0,20
M0352,2024-05,4,18,2,15
M0100,2024-01,1,2,0,21
M0171,2024-01,1,3,0,27
M0593,2024-09,5,16,3,19
M0315,2024-12,1,3,0,15
M0443,2024-06,1,10,0,26
M0547,2024-03,1,3,0,13
M0112,2024-02,1,5,0,25
M0051,2024-05,6,15,4,61
M0006,2024-09,1,3,0,22
M0141,2024-08,6,9,2,50
M0552,2024-06,0,2,0,23
M0011,2024-09,1,3,1,17
M0374,2024-09,0,2,0,18
M0083,2024-01,2,5,1,17
M0198,2024-09,2,7,1,20
M0100,2024-06,1,2,0,23
M0246,2024-01,2,2,0,21
M0009,2024-07,1,5,1,11
M0164,2024-06,0,1,0,19
M0081,2024-02,3,16,1,24
M0307,2024-03,2,5,0,20
M0588,2024-03,1,5,1,12
M0145,2024-06,47,148,13,13
M0036,2024-05,22,189,9,15
M0286,2024-05,0,1,0,13
M0247,2024-07,29,133,25,18
M0498,2024-06,1,4,0,26
M0336,2024-12,1,8,1,19
M0457,2024-02,11,42,3,25
M0415,2024-05,91,223,31,24
M0468,2024-08,123,235,75,42
M0020,2024-08,6,29,3,17
M0182,2024-02,0,2,0,22
M0080,2024-09,11,24,3,20
M0133,2024-05,0,1,0,22
M0361,2024-12,8,11,2,14
M0034,2024-05,28,71,16,18
M0032,2024-08,3,23,1,13
M0097,2024-09,0,3,0,23
M0138,2024-04,1,3,0,19
M0178,2024-07,1,8,1,24
M0120,2024-03,7,33,4,15
M0493,2024-01,1,4,0,25
M0369,2024-11,1,9,0,16
M0585,2024-04,12,50,3,20
M0395,2024-12,48,253,17,21
M0219,2024-03,3,12,2,25
M0017,2024-03,1,3,0,27
M0276,2024-04,2,7,0,25
M0240,2024-11,5,40,3,17
M0412,2024-08,9,47,2,26
M0053,2024-04,6,27,3,17
M0152,2024-09,0,4,0,20
M0549,2024-10,6,49,5,18
M0520,2024-02,1,2,0,25
M0275,2024-12,40,363,37,22
M0475,2024-05,1,5,0,24
M0356,2024-03,7,21,2,15
M0318,2024-02,4,14,2,18
M0166,2024-10,0,3,0,12
M0558,2024-02,1,4,1,22
M0044,2024-06,18,87,24,59
M0199,2024-05,35,145,9,6
M0387,2024-04,10,32,3,17
M0168,2024-09,2,24,2,19
M0294,2024-04,1,3,1,60
M0114,2024-11,1,2,0,11
M0138,2024-07,1,5,1,27
M0124,2024-01,14,34,4,32
M0410,2024-07,4,20,5,16
M0369,2024-03,0,4,0,20
M0251,2024-01,1,4,0,18
M0288,2024-10,1,14,1,27
M0552,2024-02,0,3,0,20
M0086,2024-12,1,2,0,16
M0164,2024-03,0,1,0,19
M0032,2024-03,2,14,1,14
M0568,2024-09,1,4,0,13
M0035,2024-02,1,2,0,10
M0192,2024-03,0,1,0,31
M0564,2024-08,1,4,0,25
M0465,2024-03,6,13,2,22
M0063,2024-08,1,4,0,26
M0281,2024-05,1,4,0,24
M0176,2024-06,3,8,1,12
M0560,2024-12,0,3,0,18
M0061,2024-03,0,2,0,22
M0149,2024-12,5,11,1,24
M0544,2024-07,23,83,11,17
M0022,2024-10,22,90,14,12
M0160,2024-02,4,17,1,11
M0075,2024-08,83,134,34,50
M0340,2024-02,7,29,2,14
M0360,2024-11,6,32,6,23
M0213,2024-11,1,3,0,20
M0339,2024-05,8,37,3,24
M0484,2024-09,37,116,19,19
M0556,2024-08,2,6,1,31
M0555,2024-07,8,41,4,34
M0113,2024-09,2,20,1,14
M0056,2024-03,2,5,1,15
M0189,2024-05,12,108,4,16
M0234,2024-06,2,6,0,17
M0184,2024-06,6,13,3,65
M0510,2024-02,68,211,29,15
M0320,2024-04,3,11,2,18
M0054,2024-07,0,1,0,24
M0170,2024-06,0,2,0,28
M0180,2024-01,9,26,4,28
M0502,2024-05,5,27,3,27
M0500,2024-12,3,21,2,13
M0031,2024-02,7,40,3,21
M0335,2024-06,1,3,0,20
M0186,2024-02,1,6,0,18
M0409,2024-06,0,2,0,20
M0578,2024-07,1,3,0,27
M0373,2024-02,4,21,2,18
M0294,2024-11,1,3,1,50
M0198,2024-03,1,6,0,15
M0131,2024-08,1,3,1,10
M0286,2024-06,0,1,0,10
M0290,2024-12,7,18,3,11
M0441,2024-04,11,49,4,24
M0144,2024-05,1,3,0,13
M0548,2024-04,0,3,0,17
M0351,2024-02,1,4,0,21
M0072,2024-12,2,9,1,21
M0252,2024-02,13,35,4,18
M0144,2024-01,1,7,0,19
M0437,2024-06,0,3,0,28
M0428,2024-07,0,1,0,17
M0236,2024-07,4,13,3,15
M0254,2024-03,2,15,1,23
M0006,2024-04,1,4,0,24
M0453,2024-07,5,16,1,25
M0533,2024-07,1,2,0,37
M0354,2024-04,1,9,1,25
M0174,2024-04,2,5,1,17
M0444,2024-12,1,10,1,20
M0490,2024-06,3,6,1,22
M0286,2024-08,0,1,0,12
M0132,2024-10,1,2,0,18
M0538,2024-04,4,15,2,9
M0376,2024-01,4,34,3,14
M0319,2024-01,5,11,2,22
M0328,2024-04,22,72,15,38
M0292,2024-01,8,27,3,22
M0530,2024-09,6,49,3,21
M0262,2024-06,0,2,0,16
M0021,2024-08,9,41,5,14
M0372,2024-11,1,2,0,25
M0526,2024-05,2,5,0,18
M0196,2024-01,0,2,0,7
M0501,2024-03,0,2,0,21
M0399,2024-05,1,3,0,14
M0440,2024-03,0,2,0,13
M0024,2024-12,2,8,0,25
M0271,2024-08,2,6,0,27
M0340,2024-03,9,34,3,18
M0101,2024-11,14,42,4,19
M0501,2024-12,0,2,0,20
M0218,2024-03,1,4,0,27
M0531,2024-09,4,41,1,15
M0536,2024-11,1,8,2,16
M0107,2024-08,16,95,15,16
M0148,2024-06,0,2,0,15
M0488,2024-11,20,87,21,20
M0011,2024-10,1,2,0,16
M0347,2024-10,0,6,0,16
M0321,2024-09,2,11,1,19
M0212,2024-12,0,2,0,13
M0227,2024-04,3,15,1,24
M0476,2024-06,1,3,0,17
M0495,2024-04,5,15,1,19
M0221,2024-07,5,24,2,28
M0389,2024-06,2,7,1,22
M0116,2024-09,0,1,0,17
M0414,2024-03,0,2,0,16
M0569,2024-02,4,12,2,20
M0141,2024-02,3,8,2,61
M0590,2024-08,1,6,1,14
M0218,2024-01,0,3,0,23
M0182,2024-03,0,2,0,20
M0329,2024-03,31,288,6,21
M0539,2024-10,10,55,5,14
M0263,2024-12,0,4,0,18
M0210,2024-12,1,9,0,12
M0008,2024-08,1,2,0,25
M0411,2024-04,1,5,0,26
M0326,2024-05,2,8,0,14
M0133,2024-03,0,0,0,18
M0397,2024-08,1,2,0,17
M0127,2024-01,0,1,0,21
M0426,2024-08,0,2,0,14
M0539,2024-07,9,39,4,10
M0016,2024-10,0,5,0,21
M0569,2024-08,4,14,2,14
M0578,2024-02,1,2,0,22
M0518,2024-03,1,3,0,16
M0548,2024-06,0,3,0,18
M0073,2024-10,0,1,0,24
M0138,2024-03,1,4,0,24
M0284,2024-04,12,144,10,26
M0088,2024-05,10,37,3,24
M0165,2024-06,4,31,3,18
M0419,2024-03,23,45,16,59
M0440,2024-01,0,2,0,16
M0416,2024-03,68,176,6,17
M0551,2024-05,1,5,1,16
M0396,2024-04,65,243,29,23
M0191,2024-06,1,4,0,25
M0159,2024-07,6,34,4,10
M0166,2024-12,0,3,0,12
M0081,2024-04,4,19,1,20
M0301,2024-12,1,3,0,23
M0366,2024-03,0,3,0,14
M0542,2024-11,3,25,2,14
M0211,2024-09,0,2,0,10
M0040,2024-05,1,3,0,22
M0535,2024-08,3,44,3,12
M0436,2024-07,0,2,0,23
M0049,2024-01,1,5,1,14
M0136,2024-12,13,67,3,14
M0531,2024-04,4,42,2,23
M0094,2024-04,1,9,2,8
M0370,2024-02,1,3,0,18
M0592,2024-03,2,8,1,27
M0214,2024-03,89,259,14,31
M0227,2024-11,3,9,0,20
M0137,2024-11,2,7,1,30
M0317,2024-07,1,6,1,24
M0238,2024-05,1,2,0,24
M0554,2024-11,3,36,2,15
M0338,2024-09,7,22,3,37
M0109,2024-08,1,6,0,25
M0570,2024-03,3,38,1,13
M0595,2024-01,3,11,1,6
M0243,2024-02,1,3,0,26
M0226,2024-10,0,2,0,15
M0193,2024-01,0,3,0,11
M0501,2024-10,0,1,0,21
M0325,2024-06,4,35,2,18
M0160,2024-03,4,23,1,18
M0588,2024-11,1,5,1,16
M0537,2024-05,13,36,3,26
M0539,2024-02,6,33,3,17
M0235,2024-01,2,16,1,10
M0014,2024-12,1,8,0,20
M0482,2024-09,1,2,0,16
M0041,2024-01,4,17,4,16
M0289,2024-03,2,24,2,22
M0092,2024-09,1,4,0,27
M0188,2024-05,8,37,3,20
M0253,2024-09,3,16,2,15
M0557,2024-10,2,10,1,18
M0054,2024-12,0,3,0,25
M0060,2024-03,0,3,0,10
M0566,2024-10,44,100,20,65
M0480,2024-11,6,33,5,22
M0240,2024-10,6,33,3,13
M0475,2024-06,1,6,0,19
M0294,2024-05,1,2,1,48
M0547,2024-11,2,7,1,11
M0261,2024-09,0,1,0,13
M0518,2024-08,1,3,0,16
M0218,2024-02,1,2,0,22
M0442,2024-12,15,160,10,20
M0489,2024-07,1,6,0,20
M0505,2024-06,1,4,1,18
M0544,2024-05,23,68,8,19
M0353,2024-01,0,1,0,11
M0302,2024-09,0,1,0,14
M0309,2024-02,1,1,0,14
M0068,2024-07,27,262,37,20
M0038,2024-05,0,3,0,17
M0197,2024-08,15,54,2,31
M0510,2024-04,49,166,27,15
M0524,2024-02,0,3,1,14
M0552,2024-05,0,2,0,23
M0309,2024-08,1,1,0,14
M0536,2024-12,1,9,2,14
M0125,2024-02,0,6,0,17
M0106,2024-02,37,65,14,17
M0220,2024-07,0,3,0,16
M0271,2024-12,1,5,0,22
M0520,2024-12,1,3,0,27
M0233,2024-01,6,33,2,19
M0528,2024-04,1,5,1,26
M0187,2024-04,1,7,1,19
M0329,2024-02,23,240,12,20
M0251,2024-07,1,6,1,18
M0216,2024-06,1,3,0,16
M0068,2024-04,24,173,27,18
M0122,2024-09,51,220,33,41
M0572,2024-10,11,36,3,18
M0096,2024-12,1,2,0,16
M0273,2024-10,1,7,1,15
M0170,2024-10,0,2,0,29
M0581,2024-08,3,29,2,18
M0260,2024-12,1,4,1,15
M0381,2024-09,0,1,0,7
M0530,2024-11,9,59,6,18
M0366,2024-05,0,4,0,20
M0434,2024-02,0,1,0,18
M0580,2024-11,5,27,4,51
M0079,2024-06,2,9,1,28
M0537,2024-09,10,35,3,19
M0043,2024-11,7,27,3,17
M0446,2024-04,1,5,0,13
M0345,2024-04,11,47,5,19
M0429,2024-07,0,1,0,15
M0463,2024-07,2,7,1,22
M0333,2024-05,0,1,0,7
M0521,2024-05,4,31,3,19
M0232,2024-09,0,1,0,18
M0150,2024-09,39,206,9,11
M0561,2024-11,2,8,0,15
M0225,2024-03,9,44,3,20
M0194,2024-12,1,5,1,23
M0296,2024-12,0,3,0,15
M0451,2024-10,3,4,1,22
M0007,2024-04,7,11,5,59
M0600,2024-03,1,2,0,18
M0497,2024-09,1,5,1,13
M0003,2024-07,1,6,0,20
M0522,2024-04,12,57,7,21
M0004,2024-11,136,511,89,55
M0539,2024-04,10,53,5,20
M0238,2024-11,1,3,0,21
M0241,2024-02,0,7,0,21
M0004,2024-08,111,598,55,44
M0140,2024-08,2,23,2,17
M0058,2024-12,2,8,1,17
M0056,2024-10,2,7,0,20
M0002,2024-03,2,23,3,15
M0316,2024-10,3,8,1,25
M0183,2024-10,2,7,0,16
M0123,2024-03,7,36,2,22
M0320,2024-08,3,14,2,23
M0114,2024-08,1,1,0,16
M0516,2024-06,0,5,0,24
M0416,2024-05,65,177,9,27
M0258,2024-04,2,5,0,17
M0565,2024-09,2,10,0,21
M0356,2024-01,9,28,3,14
M0117,2024-02,1,5,0,28
M0551,2024-02,1,4,1,13
M0304,2024-06,1,3,1,30
